protocol,time,analyte,mean,sd,n_obs
P4,1.5,ERY,4.65,0.238,14
P4,2,ERY,4.6231,0.249,13
P4,24,ERY,4.7188,0.299,16
P4,3,ERY,4.65,0.259,14
P4,6,ERY,4.6077,0.29,13
P5,0,ERY,4.6867,0.302,15
P5,0.5,ERY,5.1733,0.384,15
P5,1,ERY,5.0467,0.362,15
P5,1.5,ERY,4.7133,0.329,15
P5,2,ERY,4.64,0.362,15
P5,24,ERY,4.6143,0.33,14
P5,3,ERY,4.6267,0.351,15
P5,6,ERY,4.7,0.38,15
P1,0,GLU_NS,5.1667,0.339,15
P1,1,GLU_NS,4.3867,0.577,15
P1,2,GLU_NS,4.6133,0.366,15
P1,6,GLU_NS,4.8733,0.294,15
P2,0,GLU_NS,5.0667,0.241,15
P2,1,GLU_NS,5.48,0.825,15
P2,2,GLU_NS,4.6429,0.374,14
P2,6,GLU_NS,4.7143,0.254,14
P3,0,GLU_NS,5.0643,0.339,14
P3,1,GLU_NS,5.6429,1.075,14
P3,2,GLU_NS,5.0417,0.434,12
P3,6,GLU_NS,4.7909,0.298,11
P4,0,GLU_NS,4.9933,0.299,15
P4,1,GLU_NS,4.8533,0.346,15
P4,2,GLU_NS,4.8714,0.202,14
P4,6,GLU_NS,4.75,0.214,14
P5,0,GLU_NS,4.98,0.308,15
P5,1,GLU_NS,5.2933,1.135,15
P5,2,GLU_NS,4.4533,0.385,15
P5,6,GLU_NS,4.5933,0.339,15
P1,0,HB,9.2267,0.476,15
P1,0.5,HB,9.2357,0.542,14
P1,1,HB,9.1867,0.568,15
P1,1.5,HB,9.22,0.581,15
P1,2,HB,9.2067,0.608,15
P1,24,HB,9.2333,0.564,15
P1,3,HB,9.14,0.564,15
P1,6,HB,9.1467,0.504,15
P2,0,HB,8.8357,0.554,14
P2,0.5,HB,9.6154,0.515,13
P2,1,HB,9.4929,0.544,14
P2,1.5,HB,8.95,0.532,14
P2,2,HB,8.7692,0.531,13
